Date;Biomass;Hydropower;Wind offshore;Wind onshore;Photovoltaics;Other renewable;Nuclear;Fossil brown coal;Fossil hard coal;Fossil gas;Hydro pumped storage;Other conventional
2019-12-01T00:00:00;1201;372;72;1586;0;50;2307;3800;1607;1349;267;380
2019-12-01T00:15:00;1200;366;81;1588;0;50;2304;3771;1576;1391;160;380
2019-12-01T00:30:00;1196;361;82;1597;0;50;2304;3773;1504;1381;67;378
2019-12-01T00:45:00;1199;360;73;1575;0;50;2305;3781;1464;1377;133;377
2019-12-01T01:00:00;1201;360;85;1560;0;50;2299;3781;1468;1360;115;378
2019-12-01T01:15:00;1196;359;104;1530;0;50;2302;3785;1478;1362;105;377
2019-12-01T01:30:00;1195;358;90;1512;0;50;2307;3795;1470;1356;69;377
2019-12-01T01:45:00;1197;358;64;1486;0;50;2304;3784;1462;1353;52;376
2019-12-01T02:00:00;1197;362;57;1468;0;50;2308;3800;1477;1361;77;377
2019-12-01T02:15:00;1198;363;69;1431;0;50;2308;3792;1480;1374;20;379
2019-12-01T02:30:00;1202;361;91;1385;0;50;2309;3785;1465;1367;6;377
2019-12-01T02:45:00;1200;357;84;1379;0;50;2306;3769;1468;1372;3;378
2019-12-01T03:00:00;1198;355;70;1382;0;50;2312;3774;1443;1388;8;376
2019-12-01T03:15:00;1199;355;68;1384;0;50;2309;3789;1399;1397;6;377
2019-12-01T03:30:00;1195;354;72;1379;0;50;2310;3790;1361;1395;7;376
2019-12-01T03:45:00;1193;354;71;1352;0;50;2309;3784;1357;1393;5;375
2019-12-01T04:00:00;1202;371;70;1365;0;50;2312;3771;1317;1329;11;374
2019-12-01T04:15:00;1201;370;69;1420;0;50;2310;3753;1317;1341;1;374
2019-12-01T04:30:00;1200;367;84;1420;0;50;2311;3750;1312;1339;1;376
2019-12-01T04:45:00;1201;366;93;1415;0;50;2310;3745;1308;1298;1;378
2019-12-01T05:00:00;1198;366;89;1432;0;50;2310;3754;1321;1272;1;379
2019-12-01T05:15:00;1198;362;99;1469;0;50;2310;3744;1319;1240;1;378
2019-12-01T05:30:00;1205;367;108;1516;0;50;2300;3762;1287;1227;1;379
2019-12-01T05:45:00;1203;365;102;1601;0;50;2280;3749;1313;1204;0;379
2019-12-01T06:00:00;1203;363;74;1706;0;50;2260;3749;1382;1186;0;378
2019-12-01T06:15:00;1205;366;74;1751;0;50;2245;3775;1468;1207;11;377
2019-12-01T06:30:00;1206;360;121;1712;0;50;2227;3765;1480;1221;6;376
2019-12-01T06:45:00;1205;365;155;1702;0;50;2209;3781;1530;1223;1;378
2019-12-01T07:00:00;1206;365;136;1709;0;50;2193;3787;1566;1199;0;377
2019-12-01T07:15:00;1204;368;119;1747;0;50;2189;3792;1580;1180;18;378
2019-12-01T07:30:00;1203;377;135;1721;0;50;2156;3798;1616;1177;30;377
2019-12-01T07:45:00;1201;391;125;1680;2;50;2137;3790;1694;1209;27;378
2019-12-01T08:00:00;1210;373;138;1693;25;50;2111;3706;1793;1294;49;379
2019-12-01T08:15:00;1213;373;150;1695;74;50;2092;3714;1918;1306;79;378
2019-12-01T08:30:00;1207;373;146;1663;144;50;2085;3720;1991;1312;111;378
2019-12-01T08:45:00;1207;399;137;1628;247;50;2088;3716;2023;1317;139;379
2019-12-01T09:00:00;1206;386;132;1585;381;50;2081;3715;2048;1320;106;378
2019-12-01T09:15:00;1205;393;134;1541;504;50;2083;3715;2089;1317;98;379
2019-12-01T09:30:00;1208;387;142;1500;612;50;2082;3716;2117;1319;86;379
2019-12-01T09:45:00;1206;400;158;1456;721;50;2081;3718;2137;1318;58;380
